"project","article","access","agent","granularity","date","en_views","id_views"
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-30,855,916
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-01,860,1114
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-02,862,1106
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-03,896,962
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-04,917,881
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-05,860,960
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-06,878,912
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-07,1000,911
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-08,955,942
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-09,1237,1062
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-10,1270,1098
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-11,1169,1028
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-12,880,1000
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-13,812,925
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-14,751,992
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-15,1075,1013
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-16,1011,1065
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-17,1010,1088
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-18,952,972
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-19,896,1070
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-20,836,928
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-21,771,955
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-22,774,1010
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-23,858,1053
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-24,854,1110
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-25,911,1132
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-26,1598,1086
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-27,1378,1162
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-28,828,989
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-29,883,1006
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-30,972,1100
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-05-31,888,1050
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-06-01,980,1187
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-06-02,832,1131
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-06-03,869,1025
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-06-04,695,817
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-06-05,690,835
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-06-06,905,882
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-06-07,845,902
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-06-08,900,974
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-06-09,992,915
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-06-10,741,805
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-06-11,651,757
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-06-12,834,821
